Textbox16,ProblemNumber,Status,ServiceName,Category,Priority,Textbox10,CreatedDateTime,ClosedDateTime,Subject,ProblemDescription,Workaround,RootCause,RootCauseCode,Resolution,ResolutionAction
"Created Problem Records for Selected Services, Total 1865",3501,Closed,CE Exam Processing,Metrica - CE,3,Cambridge English ,11/01/2017 11:54:12,06/09/2018 13:35:00,Metrica - Problem importing results Incident#433487,The candidate is getting errors while importing scores.Please find the attached error message and csv files in the attachment.    Investigation details as follows:-  Root Cause:-The import is failing for assignments having “cnt_test_id” as  and  “cnt_type” as group in the “content” table.    Technical details of our investigation:-           Methods to be looked into: ImportScores in importscore.aspx.cs                              GetTestByAssignmentId in DAL.cs    I had a discussion with the customer Trevor Benjamin over phone. Both of us agreed that the system should allow importing scores which has contents with more than one tests assigned to it.,,Logic issue,Software Issue,"No further action as issue now obsolete, incident raised on 19/12/2018, backlog MET-6862 closed on 11/09/2017, resolution stated as 'Obsolete'.",Backlog Item
"Created Problem Records for Selected Services, Total 1865",3506,Closed,Print and Distribution Services,SCALE,5,CSD ,13/01/2017 13:03:45,13/11/2018 14:27:00,Shipments stuck during attempted delete,"Housekeeping task that failed ie shipment deletion failed. Establish root cause and resovle (could be internal or external fix), or if root cause cannot be established put process in place to manage stuck shipments during delete.",,"Not identified , as a duplicate of 6310",Unidentified cause,"Please can this PR be closed, it’s being dealt with on PR6310.",Other
"Created Problem Records for Selected Services, Total 1865",3508,Closed,Communication & Collaboration,Email Server,3,Cambridge English CIE CSD OCR,16/01/2017 09:40:46,14/02/2018 15:16:51,Migration to exchange 2013 issues,"Migration to exchange 2013 issues when we have moved users from 2007 to 2013 we have had some issues with outlook rules. Other issues have been calendar issues, address book issues etc.",CE have restored mailbox rules manually,The root cause is an known issue in the way that mailboxes process outlook rules in a mailbox attached to a 2013. Resolution is to recreate rules using server side rules,Known/standard error,"Transport rules have been setup for each mailbox that needs to redirect mail to ZenDesk. there are still mailboxes waiting to be migrated across, but this is business led delays, the resolution is in place. 
 
Transport rules were created under SR# 154152",Service Request
"Created Problem Records for Selected Services, Total 1865",3509,Closed,SAP,BI - Reporting (BObj),5,Cambridge English ,16/01/2017 09:41:06,23/02/2018 11:44:21,HANA Missing Measures Report - search results for May 2016 are incomplete,"Mainstream Ops habitually run the Missing Measures report (BO on HANA) for a calendar month of test dates.  When running the report for D401, May 2016 dates, suspicions were raised that the data returned were incomplete because the legacy candidate numbers only covered the range 0001 - 0007.  When running the report for just D401, 1st May, legacy candidate numbers were returned in the range 0001 - 1174, which indicates that data are missing from the whole month report.  Please see the attached extracts.",,N/A,Unidentified cause,Business confirmed this is no longer a problem and can be closed - see email attached No work was done,None
"Created Problem Records for Selected Services, Total 1865",3510,Closed,Print and Distribution Services,Teleform OMR,4,Cambridge English CSD ,16/01/2017 09:53:42,24/05/2018 14:08:29,Teleform software has a hard limit on the number of images in batches,"Teleform software has a hard limit on the number of images in batches  2,000 images per batch",ePC Split batches,Teleform software has a hard limit on the number of images in batches,Software Issue,"A fix for this issue by increasing the batch size limit within Teleform was deployed in December 2017 by ePC as part of a Teleform release. This was deployed for OMR (SAP) and not CPS, however, since CPS no longer exists this problem record can be closed",Vendor Fix
"Created Problem Records for Selected Services, Total 1865",3512,Closed,Communication & Collaboration,Lync Client,3,CSD ,16/01/2017 11:46:53,15/06/2018 14:01:00,Access issues using Lync externally using direct access,Access issues using Lync externally using direct access. Unable to connect to meettings. Doesn't appear to be affecting everyone.,,Users with incompatible SIP addresses and connection speeds back to CA.,Software Issue,"This has now been resolved as part of the infrastructure upgrades within Skype for Business and the unifed communications project.

RFC 30169",Request for Change
"Created Problem Records for Selected Services, Total 1865",3517,Closed,CEAS,Candidate Results,3,CIE ,17/01/2017 08:35:39,01/11/2017 12:19:27,CIE Candidate Results- Some users unable to access site on 17th of Jan,Some users were unable to access the site.  2 key observations were noted:  1) The nodes were intermittently beinbg dropped from the load balancer pool.  2) Database CPU usage was maxed at 100% for the period of high load.,,Node dropping was a result of an issue with the firewall.  Since this issue has been resolved no further instances of node dropping have been reported.,Infrastructure/Networks/OS Issue,"Firewall issue resolved under PR 3870.  PR will be monitored during 2017 Results Release and closed if no issues are reported during the release.
Implementation of RFC 16836 to change connection limit to ""auto"" on PRD Internal Checkpoint cluster.",Request for Change
"Created Problem Records for Selected Services, Total 1865",3518,Closed,CE Exam Processing,Metrica - CE,5,Cambridge English ,17/01/2017 10:06:11,06/09/2018 13:35:00,Problem in Metrica Portal-Getting a yellow screen with error message,Problem in Metrica Portal-Getting a yellow screen with error message. This attached error message is coming up in the screen when user tries to access Metrica portal site. This issue is intermittent.,,"Code logic issue, no longer occurring.",Software Issue,"No further action, only single incident 435903 raised on 05/01/2017.",Will Not Fix
"Created Problem Records for Selected Services, Total 1865",3520,Closed,Network,Switches,3,CSD ,17/01/2017 10:41:51,01/11/2017 12:19:57,Slow network performance between 1HR and WCDC,"Service in Incident: Infrastructure    Incident Description:        I’m currently watching a VM migrate from 1HR to WCDC, and it going very very slowly. Doing some packet captures on the target host, I’m seeing retransmits and selective-acknowledgements that suggest that packets are being dropped somewhere.     Attached it a packet capture from the destination end.     The source machine is upjntvm150, 10.60.132.179 connected to Ethernet115/1/13 on NHRAGBCR39 and NHRAGBCR40     The destination of the copy is upinfvm001 172.31.136.11 connected to Ethernet105/1/1 and Ethernet106/1/1 on NWCCR1SR502     Please assign to the network team for them to investigate!     Tim    Category: Virtualisation  Subcategory: Terminal server",n/a,No fault was found.  The tests ran that identified a potential issue were incorrect due to a bug in the tool being used.  Re-running the tests have shown no concerning packet loss between any of our data centres.  No action is necessary.,Skills/knowledge issue,No action taken.,None
"Created Problem Records for Selected Services, Total 1865",3524,Closed,Interchange Services,Interchange,2,OCR,17/01/2017 14:58:36,01/11/2017 12:20:10,Candidates showing on the attendance list twice,Candidates are appearing on attendance lists twice when there is only one record in GTI    Application / URL affected : Interchange    When was this last working: Intermittent,,"Due to failure of a SQL Server Agent job ""InsertFuncSkillsAttendanceData"" present in Server UTLPRD02A\SQL03, then data was not deleted leaving duplicate rows. Resolution is to delete these rows.     These duplications are picked up in the daily APO support checks that highlight data anomalies, so the APO team can arrange a script to delete the data.    This workaround can remain as not time instensive the APO team currently. Due to CAMS replacement, workaround will remain to avoid a change that will become obsolete later this year.",Data Issue,"Only observed once, and has not been repeated - support team monitoring on a daily basis in case it arises again.",Process Change
"Created Problem Records for Selected Services, Total 1865",3525,Closed,CE Customer Admin,Pivotal - CE,3,Cambridge English ,17/01/2017 16:59:39,11/03/2019 09:47:00,Link between Pivotal and Portals system fails intermittently to capture and process update received ,Link between Pivotal and Portals system fails intermittently to capture and process update received from EPS - updated CEM details do not get refreshed/synced back to Portals system from Pivotal end intermittently ;even after the update is received okay from EPS end to Pivotal system.,"Manually update user details in Portals backend, after looking up Pivotal database for specified centre","The data for centre “SA775” is not incorrect but missing from the Pivotal.CentreContacts table of database – EPSStaging on server EPOPRDAG01\SQL01 as it was been manually updated by DotNet team in the table -CentreData.CentreContacts of database –CentreAssessmentManager on server EPOPRDAG01\SQL01.

This is causing the job to fail regularly as the data is now being pushed from pivotal system to the portals .",Data Issue,"Run a script to delete centre number('SA775') in the table CentreData.CentreContacts of database CentreAssessmentManager on server EPOPRDAG01\SQL01.

It will be updated on the next day when the data from pivotal will be pushed for the given centre.",Incident Fix
"Created Problem Records for Selected Services, Total 1865",3529,Closed,CE Exam Processing,Metrica - CE,3,Cambridge English ,19/01/2017 11:50:56,06/09/2018 13:33:00,Test Froze or crashed . Total candidates affected = 3,"Test froze or crashed for 3 candidates while appearing for tests of multiple INTO sessions.    Investigation details:-   Additional loggings have been  provided by the APO team ,which have been checked into the SVN.After deployment of these loggings in the PRD ,we shall be able to track the root cause of similar problems when they happen in future.    Data team has been asked if they could provide the queries which were executed during the time span of the test failures",Candidate rebooted the machine and continued from where they left the test,Unidentified,Unidentified cause,"No further action, last incident 4372017 raised on 10/01/2017.",Will Not Fix
"Created Problem Records for Selected Services, Total 1865",3531,Closed,SAP,BI - Reporting (BObj),4,CSD ,19/01/2017 15:10:09,01/11/2017 12:21:43,"BOBJ - folder view not visible and Cannot select prompt values in the ""Marks Capture Summary Report ","BOBJ - folder view not visible and Cannot select prompt values in the ""Marks Capture Summary Report - HANA"" in SAP consumer portal    We are facing the below 2 poblem due integration issue between Bobj and Consumer portal.    1.BOBJ - folder view not visible -  Users are unable to view the folder hierarchy when running BOBJ within the SAP Consumer Portal (https://con-portal.cambridgeassessment.org.uk/irj/portal) from the terminal server rds.ucles.internal.  The default BOBJ launch page (see screenshot) shows recently viewed documents    2. Cannot select prompt values in the ""Marks Capture Summary Report - HANA""-   In the prompt selection screen, it is not possible to select prompt values from the list of values.  Normally, when double clicking on an item in the LOV or selecting an item in the LOV and clicking the '>' icon, the item is added to the prompt selection.  This is not happening.  Please see the attached .swf video clip.",Workaround is attached in attachment,Internet explorer was upgraded to version11 ,Infrastructure/Networks/OS Issue,"RFC 17740 was raised
Update Consumer portal to NW7.31 SP18
carried out the configuration between BOBJ and Consumer portal ",Request for Change
"Created Problem Records for Selected Services, Total 1865",3532,Closed,CE Exam Processing,Metrica - CE,3,Cambridge English ,19/01/2017 15:17:19,06/09/2018 13:34:00,Performance problem in logout page,"There were some instances observerd in LIVE environment which shows that metrica portal(https://www.metritests.com/metrica/) logout page is taking too long to load. we have also replicated the issue in our local environment. Attached is the video file of the replication.    We have investigated the issue and found that there is a timer code written in the logout.aspx page which is causing the problem. Below mentioned is the code area which is causing the problem. In the code the only suspicious item that can trigger this delay seems to be possible from this timer. A situation where the timer might take more than 1 second to post the initial request and thus queues up multiple requests which leads to such delay.    File name: logout.aspx.cs  File path: Metrica    protected void Timer1_OnTick(object sender, EventArgs e)          {              FormsAuthentication.SignOut();              Institution institution = InstitutionHelper.GetCurrentInstitution(true);              Session.Abandon();              if ((institution != ) && (institution.IsLoaded))              {                  Response.Redirect(MetricaSoftware.Web.ApplicationManager.ApplicationPath + ""/"" + institution.InstitutionId + "".aspx"");              }              else              {                  Response.Redirect(MetricaSoftware.Web.ApplicationManager.ApplicationPath + ""/default.aspx"");              }          }      File Name: logout.aspx  File path: Metrica    <asp:Timer ID=""Timer1"" runat=""server"" Interval=""1000"" ontick=""Timer1_OnTick""></asp:Timer>",,Unidentified,Unidentified cause,"No further action, last incident 436922 raised on 09/01/2017.",Will Not Fix
"Created Problem Records for Selected Services, Total 1865",3544,Closed,SAP,ERP - Results,5,Cambridge English ,20/01/2017 16:21:23,01/11/2017 12:22:17,PRDB Extract Job Failure due to exceeded candidate name accepted by PRDB from SAP,"Currently SAP, CECP allows 80 chars (FNAME+LNAME), however PRDB can only accept 60 (FNAME+LNAME). Due to 2 candidates name being 68 and 64 chars long, the extract job was unable to push all candidate result to ESOLCR",To remove these candidates in PRDB and then allow the job to run for others or reduce the full name with in the limit of 60 chars.  Once the PRDB job starts running the missing candidates and results will appear in ESOLCR.,There is no consistency in the upper limit of characters between ECC and PRDB. This is causing jobs to fail due to exceeded length in candidate name.,Known/standard error,An additional validation is to be included to restrict the length from 80 to 60 in CECP. This is to be carried out in CR9000476,Request for Change
"Created Problem Records for Selected Services, Total 1865",3545,Planned into Release,EPS,EPS - Entries,3,CIE ,23/01/2017 08:38:00,,ICE Grading - CAP Data removed from Previous series in EPSCandidate grades,"During ICE grading of November 2016, it was noticed that CAP records was removed of candidates from previous series. For candidate provided in Incident#438124 - November 2016/TH177 cand #0007), it was found that CAP record was removed due to candidate -UCI changed during linking with November 16 candidate after June 2016 results.    There are the rest of similar candidates shared in I#438124 and their CAP records were deleted due to different reason.  No. Centre Candidate Unique identifier Candidate number/J16 ICE Outcome  1 EA016 UCLES-92838178                      45   2 IN747 UCLES-91199266                      1   3 IN747 UCLES-91199268                      2   4 NG167 UCLES-92071906                      38   5 NG272 UCLES-89766408                        8   6 TH177 UCLES-89993782                      11     In a mail attached in I#438124, it seems due to removal of overarched ICE syllabus, CAP record can be removed. In an investigation it seems true.In EPS database table, CAP records are maintained for each candidate in a single table but is kept separated for different session via a field-value of this table. Though  in the screen of ICE overarching, if we expand each candidate, overarched syllabuses are shown at candidate level but with different overarched-count for different session. As a reference of this, scenarios along with related screens in I#438124 activity-history on 07 February 2017 17:32  can be referred.The reason of the problem is described in I#438124 activity-history on  23 January 2017 17:37.    Though there is a PR - 1717 but this is a bit different scenario because CAP record is removed after grading for previous series.  As discussed with customer, this problem is raised to have a root cause and a resolution for this type of scenario.","CAP records is populated for those candidates for previous session.    As an alternative workaround, the process of removing overarched by choosing current series syllabus can restrict CAP removal of previous series.Detail process is described in I#438124 activity-history dated on 07 February 2017 11:33.","The incident was caused by removal of the over-arching ICE syllabus for a series rather than for a single syllabus, so removing the CAP records for these candidates.",Data Issue,,Process Change
"Created Problem Records for Selected Services, Total 1865",3547,Closed,SAP,PI,1,Cambridge English ,23/01/2017 12:26:00,29/01/2018 20:33:36,Module Grades being output incorrectly on SORs for CPE,"Some results appearing on SORs are different from candidates' actual results
20/07/17 - Additionally, linking ITSM incident #487352.

#WaterLine YES
#Super Results
#Workaround YES
#ETD JAN MTR
",,"Initially, the module names were sorted with start date but not along with the module grades and that caused the mismatch. Since there were only four modules (Reading, Writing, Learning, Speaking) earlier the mismatch did not occur, but when the fifth module (Use of English) was added for a particular PoS (Programme of Study), this mismatch came into picture.",Software Issue,"The function “SortbyKey” is replaced with function “FormatbyExample” after which modules are getting mapped correctly. This also ensures that if there are more modules or for different POS structure, it won’t create any issues further in future.

Fix implemented in the JAN MTR - RFC 19097",Request for Change
"Created Problem Records for Selected Services, Total 1865",3550,Closed,LIBS,LIBS CI,5,CIE ,23/01/2017 16:23:50,12/03/2019 16:19:00,Unable to view the ERM Upload Report  ,This is regarding issue related to unable to view the ERM upload report from LIBS. This is occurring due to incorrect ‘Report Path’ (ERMComponentDataReportRepPath) in ‘CONFIG’ table.,The reports can be viewed using the url:  http://splibap004/ReportServer?%2fEPS_LIBS_ERM&rs:Command=ListChildren,Permissions on the folder at fault.,Security Issue,Permission Granted to folder to ensure users are able to access report post creation.,Request for Change
"Created Problem Records for Selected Services, Total 1865",3553,Closed,Print and Distribution Services,DC10 Scanning,3,CSD ,24/01/2017 13:45:28,25/05/2018 14:03:52,Scanning page 15 & 16 into next script,"Service in Incident: Applications    Incident Description:        We have several instances of Scanning page 15 & 16 into next script in batch BX16000426680, an example below          Regards     Martin Amis  Post Exams Operations- Group Print and Operations- DC10  Distibution Supervisor  CSD    Cambridge Assessment  Hill Farm Road, Whittlesford, Cambridge, CB22 4FZ  Telephone: +44 (0) 1223 552824  www.cambridgeassessment.org.uk  Cambridge Assessment is the brand name of the University of Cambridge Local Examinations Syndicate, a department of the University of Cambridge. Cambridge Assessment is a not-for-profit organisation.          Category: IS Print and Distribution Services  Subcategory: DC10 Scanning",DC10 use Quality Control on the scanner to correct the issue so that it can be ingested.,Bug in Kodak software,Third Party/External issue,"We have updated the SoftTrac software on the IBML scanners at DC10 from v3.3.5 to v4.2.1, under RFC# 19019 - this has resolved the issue. 
",Request for Change
"Created Problem Records for Selected Services, Total 1865",3555,Closed,SAP,Hana,4,Cambridge English ,25/01/2017 10:48:06,01/11/2017 12:24:40,HANA Database index server crash,"Currently the Cambridge Assessment ‘Results Determination’ system is being executed on our HANA SP7 instance, but is consistently experiencing memory leak issues resulting in a system crash. Current version of Hana (SP07) is encountering memory related issues whereby the memory is not allocating correctly and not releasing back to the central pool.",Restart the HANA system and proceed the end to end health checks.,This is a product related issue and we have been advised by SAP to upgrade the current HANA version.,Software Issue,We have been advised by SAP to upgrade the current HANA version (from SP07) to HANA SP12. This upgrade is in the roadmap plan of Basis team next year as confirmed by Sergi (the CoE technical/Basis lead). ,New feature request
"Created Problem Records for Selected Services, Total 1865",3556,Closed,SAP,Hana,3,Cambridge English ,25/01/2017 12:15:27,28/09/2018 10:01:00,HANA Daily Monitoring Script showing Marks Ingest Errors unnessesarily,"Correction required in HANA Daily Monitoring Scripts, which are notifying us unnessesarily about Marks Ingest Errors. Mail communication with Suresh and the errors' details are attached. Daily checks script w.r.t. this issue is: SELECT CATEGORY,SUBCATEGORY,ERROR FROM ""_SYS_BIC"".""ucles.rd.models/CA_DBCHECK_INGEST""    Example: When the batch split happen, we reject the old batch and create two new batches and process. During this process, old batch rejected without reconciliation, those we need to ignore from the error report.",Checking those errors directly from the Marks Ingest,Change in requirement.,Change/Release Issue,"This is a new requirement , it is now on the backlog under CR 9000598",Backlog Item
"Created Problem Records for Selected Services, Total 1865",3557,Closed,IELTS Services,IWAS,3,Cambridge English ,25/01/2017 12:57:37,01/11/2017 12:25:13,IWAS - Audit trail report is not getting restricted by Centres.,"When the user type is “PARTNER”, the audit trail report is getting restricted by centres filtered by the corresponding partner type (i.e. IDP, BC, CEII etc.) but in case of user type ‘PARTNER_READ’ and ‘PARTNER_WRITE’ the report contains data for all centres irrespective of partner type when “All Centres” is selected in centre dropdown list.    However, the centres that populate in the dropdown list to print the report is definitely getting restricted by the partner type if the user type is “PARTNER’” or “PARTNER_READ” or “PARTNER_WRITE” but partner type is not “ESOL”.    Hence accordingly the report should be getting restricted by the partner type too in case the user type ‘PARTNER_READ’ and ‘PARTNER_WRITE’.    Please navigate to the following URL to view the screencast capturing the error:  https://www.screencast.com/t/wZ51q7SBNa",The report is required to be filtered out to accommodate only the necessary centres.,"When user is either Partner Write or Partner Read, the report is not filtered by the user’s Partner Type (ie. BC, IDP, CEII, ESOL)",Data Issue,"The report is now filtered based on the user’s partner type. This fix applies to the following users: Full Partner, Partner Write, and Partner Read. Under Rfc 17386",Request for Change
"Created Problem Records for Selected Services, Total 1865",3560,Closed,OCR Exam Processing,CAMS,3,OCR,26/01/2017 08:33:09,01/11/2017 12:25:28,Cams Awarding completing but not confirming back to the GPAO PC,Cams Awarding completing but not confirming back to the GPAO PC,"APO Delphi lead checks tht CAMS Awarding has indeed completed, and then advises GPAO.",Not known but fixed by APO.,Unidentified cause,APO made changes to the messaging process to resolve the issue.,Process Change
"Created Problem Records for Selected Services, Total 1865",3561,Investigation,Hardware,SAN,3,CSD ,26/01/2017 17:51:30,,Database logs are complaining it is taking a long time to write to /oracle on upsapor001,"Database logs are complaining it is taking a long time to write to /oracle on upsapor001. It is taking 0.5 second to write less than 50K of data. Below are part of the log file:    *** 2017-01-26 17:15:32.894  Warning: log write elapsed time 569ms, size 387KB    *** 2017-01-26 17:15:57.176  Warning: log write elapsed time 1082ms, size 88KB    *** 2017-01-26 17:16:02.345  Warning: log write elapsed time 863ms, size 318KB    *** 2017-01-26 17:16:03.106  Warning: log write elapsed time 760ms, size 501KB    *** 2017-01-26 17:16:05.151  Warning: log write elapsed time 751ms, size 79KB    *** 2017-01-26 17:16:07.360  Warning: log write elapsed time 1342ms, size 125KB    *** 2017-01-26 17:16:09.411  Warning: log write elapsed time 522ms, size 30KB    *** 2017-01-26 17:16:28.842  Warning: log write elapsed time 1181ms, size 118KB    *** 2017-01-26 17:16:33.964  Warning: log write elapsed time 620ms, size 69KB    *** 2017-01-26 17:16:35.438  Warning: log write elapsed time 517ms, size 661KB    *** 2017-01-26 17:16:37.017  Warning: log write elapsed time 681ms, size 19KB    *** 2017-01-26 17:16:47.298  Warning: log write elapsed time 509ms, size 96KB    *** 2017-01-26 17:16:49.734  Warning: log write elapsed time 986ms, size 1009KB    *** 2017-01-26 17:17:11.302  Warning: log write elapsed time 772ms, size 120KB    *** 2017-01-26 17:20:49.383  Warning: log write elapsed time 514ms, size 65KB    *** 2017-01-26 17:39:40.069  Warning: log write elapsed time 642ms, size 71KB      We need to know why it is taking so long to write to the file system.",Not yet identified.,,,,
