,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,last_credit_pull_d,application_type,pub_rec_bankruptcies,emp_length_range
32,1065420,1299514,10000,10000,9975, 60 months,15.96%,242.97,C,C5,US Legal Support,2 years,RENT,29120,Verified,12/1/2011,Current,n,,debt_consolidation,Brown Eyes Loan,330xx,FL,22.83,0,Feb-97,1,68,,11,0,16158,63.60%,31,f,1849.1,1844.43,12594.24,12562.85,8150.89,4443.35,0,0,0,16-May,242.97,16-Apr,INDIVIDUAL,0,0-10 years
39,1069346,1304237,12500,12500,12475, 60 months,12.69%,282.44,B,B5,United States Infrastructure Corporation,1 year,RENT,27000,Verified,12/1/2011,Current,n,  Borrower added on 12/20/11 > The purpose of this loan is to pay off my credit card debt. The remaining will go towards my student loan.<br>,debt_consolidation,Credit card debt,604xx,IL,16.04,0,1-Dec,3,,,6,0,10143,50%,24,f,2181.42,2177.03,14636.3,14607.08,10318.58,4317.72,0,0,0,16-May,282.44,16-May,INDIVIDUAL,0,0-10 years
46,1069465,1304521,5000,5000,5000, 36 months,8.90%,158.77,A,A5,STERIS Corporation,10+ years,MORTGAGE,100000,Source Verified,12/1/2011,Charged Off,n,,debt_consolidation,Debt Consolidation for a better life,441xx,OH,16.33,0,Jun-95,0,,,17,0,74351,62.10%,35,f,0,0,5021.37,5021.37,4217.38,696.99,0,107,1.07,14-Aug,158.77,14-Dec,INDIVIDUAL,0,10+ years
50,1069248,1304123,15000,15000,15000, 36 months,9.91%,483.38,B,B1,Caterpillar Inc.,8 years,MORTGAGE,80000,Not Verified,12/1/2011,Charged Off,n,  Borrower added on 12/15/11 > Using to pay off existing loans and credit card debt<br><br>  Borrower added on 12/16/11 > All are of a higher interest rate so this interest rate is substantionaly lower giving me peace of mind..<br><br>  Borrower added on 12/18/11 > My job is very stable and I have seniority over more than 80% of the workforce which makes it highly unlikely for me to get laid off..I made it through the 2008 economic downturn without a beat and I still have unlimited overtime oppurtunity<br>,debt_consolidation,Debt Consolidation Loan,616xx,IL,9.12,0,Apr-92,2,,,9,0,11845,63.70%,28,f,0,0,16177.77,16177.77,13556.45,2374.34,24.17,222.81,36.3708,14-Oct,483.38,15-Mar,INDIVIDUAL,0,0-10 years
53,1069243,1304116,12000,12000,12000, 36 months,15.96%,421.65,C,C5,Chemat Technology Inc,4 years,RENT,50000,Not Verified,12/1/2011,Charged Off,n,,car,Car Loan,914xx,CA,20.88,0,6-Oct,2,,,11,0,15793,90.80%,11,f,0,0,3521.95,3521.95,1903.66,1039.35,0,578.94,5.49,12-Aug,421.65,12-Dec,INDIVIDUAL,0,0-10 years
55,1069410,1303652,21000,21000,20975, 60 months,19.91%,555.33,E,E4,Costco,7 years,RENT,50000,Verified,12/1/2011,Charged Off,n,  Borrower added on 12/20/11 > consolidation  of credit cards.<br>,debt_consolidation, Bill pay of,980xx,WA,21.58,0,Sep-98,1,,,7,0,19448,97.60%,14,f,0,0,18319.14,18297.35,8990.81,9328.33,0,0,0,14-Oct,555.33,16-May,INDIVIDUAL,0,0-10 years
64,1069126,1303778,10000,10000,9975, 60 months,10.65%,215.69,B,B2,CEC ENTERTAINMENT INC,10+ years,RENT,45996,Verified,12/1/2011,Charged Off,n,,debt_consolidation,Consolidation,440xx,OH,21.73,0,May-97,1,,,7,0,11170,30.10%,15,f,0,0,8772.91,8751.08,5495.38,2429.23,1,847.3,152.514,15-Apr,1,15-Jun,INDIVIDUAL,0,10+ years
66,1069093,1303740,12500,8925,8925, 60 months,17.27%,223.11,D,D3,grandma kitchen,5 years,RENT,30000,Source Verified,12/1/2011,Charged Off,n,  Borrower added on 12/16/11 > So I can pay all my bills so I will have just one monthy payment .<br>,debt_consolidation,allen,559xx,MN,13.16,0,Apr-95,0,,113,7,1,9844,70.80%,28,f,0,0,5577.75,5577.75,2812.82,2742.43,0,22.5,0,14-Feb,223.11,16-May,INDIVIDUAL,1,0-10 years
68,1068906,1303528,8200,8200,8200, 60 months,21.28%,223.14,F,F2,autozone,4 years,RENT,75000,Source Verified,12/1/2011,Charged Off,n,  Borrower added on 12/15/11 > Business/credit card<br>,small_business,Small_Business Loan,912xx,CA,12.48,0,Jan-00,3,,,6,0,9012,73.90%,11,f,0,0,4173.57,4173.57,1525.83,2265.85,0,381.89,3.6,13-Jun,223.14,13-Oct,INDIVIDUAL,0,0-10 years
71,1060981,1292558,6400,6400,6400, 36 months,16.77%,227.45,D,D2,"Riverside County, California",5 years,RENT,75000,Not Verified,12/1/2011,Charged Off,n,  Borrower added on 12/14/11 > Debt consolidation<br>,debt_consolidation,Help,923xx,CA,20.22,0,Dec-94,0,48,,9,0,7159,67.50%,27,f,0,0,4776.45,4776.45,3334.25,1431.91,0,10.29,0,13-Oct,227.45,16-May,INDIVIDUAL,0,0-10 years
86,1063958,1297940,14000,14000,13975, 60 months,17.27%,349.98,D,D3,community colleges of spokane,4 years,RENT,28000,Verified,12/1/2011,Current,n,  Borrower added on 12/18/11 > most of my teeth need root canals and crowns. As far as day to day expenses goes I live a spartan life style buying only what I need saving money whenever possible. So that I can pay off my debt as quickly as possible.<br>,other,dental care,992xx,WA,6.34,0,5-Jul,2,,,5,0,6986,79.40%,10,f,2637.34,2632.59,18176.96,18144.59,11362.67,6814.29,0,0,0,16-May,349.98,16-May,INDIVIDUAL,0,0-10 years
95,1068575,1303001,15300,15300,15275, 60 months,22.06%,423.1,F,F4,OSSI,6 years,RENT,85000,Verified,12/1/2011,Current,n,,credit_card,Consolidation,226xx,VA,20.58,0,Feb-84,2,56,,14,0,26524,89.70%,27,f,3125.79,3120.68,21988.2,21952.28,12174.21,9813.99,0,0,0,16-May,423.1,16-May,INDIVIDUAL,0,0-10 years
97,1068542,1303143,17500,17500,17500, 60 months,17.27%,437.47,D,D3,Travelers Insurance,7 years,MORTGAGE,45000,Not Verified,12/1/2011,Charged Off,n,  Borrower added on 12/14/11 > Pay off credit card debit<br>,credit_card,Debit Free,992xx,WA,21.31,0,2-Sep,2,,,13,0,20129,86.10%,26,f,0,0,10037.1,10037.1,3077.85,3473.25,0,3486,625.617,13-Apr,437.47,15-Dec,INDIVIDUAL,0,0-10 years
99,1067874,1302235,6000,6000,6000, 60 months,12.69%,135.57,B,B5,Anadarko Petroleum Corporation,< 1 year,RENT,81000,Source Verified,12/1/2011,Current,n,  Borrower added on 12/15/11 > The following is more information regarding the loan request:<br><br>1.) I plan to use the funds to pay for wedding expenses.<br><br>2.) I have never defaulted on a loan or filed for bunkruptcy.<br><br>3.) My job is very stable with great growth opportunities.<br><br><br>,major_purchase,Major Purchase Loan,802xx,CO,13.66,1,4-Nov,0,20,,6,0,15102,50%,17,f,1041.99,1041.99,7037.39,7037.39,4958.01,2079.38,0,0,0,16-May,135.57,16-May,INDIVIDUAL,0,0 years
100,1068509,1302907,6200,6200,6200, 36 months,9.91%,199.8,B,B1,Sunrise Senior Living,2 years,RENT,25000,Not Verified,12/1/2011,Charged Off,n,  Borrower added on 12/14/11 > This loan will consolidate a current personal loan from Wells Fargo and a high rate chase visa card. The money currently alotted to those obligations will be used towards payment of this loan.<br>,debt_consolidation,Wells/Chase ReFi,902xx,CA,20.64,0,May-98,2,,,7,0,6533,47.70%,12,f,0,0,2452.22,2452.22,1700.79,493.16,0,258.27,2.54,12-Dec,199.8,13-May,INDIVIDUAL,0,0-10 years
101,1034693,1264291,16000,16000,16000, 60 months,17.58%,402.65,D,D4,Menards,7 years,RENT,65000,Not Verified,12/1/2011,Current,n,  Borrower added on 12/18/11 > We have never been late or missed any payments to any of our creditors.  We are planning on using this loan to help us get out of our current situation which will help us be more financially stable in the future.<br>,debt_consolidation,Debt Consolidation Loan,672xx,KS,15.56,0,Oct-96,0,,,8,0,21166,87.10%,16,f,3033.28,3033.28,20908.55,20908.55,12966.72,7941.83,0,0,0,16-May,402.65,16-May,INDIVIDUAL,0,0-10 years
105,1068309,1302924,18825,18825,18800, 60 months,16.77%,465.53,D,D2,Texas Health & Human Services Commission,10+ years,RENT,38000,Verified,12/1/2011,Charged Off,n,,debt_consolidation,Coledon's Club Loan,787xx,TX,23.18,0,4-Dec,0,,,6,0,11004,79.70%,7,f,0,0,18749.25,18724.53,8087.75,6786.71,0,3874.79,670.8193,14-Sep,465.53,16-May,INDIVIDUAL,0,10+ years
114,1068012,1302365,10000,10000,10000, 36 months,18.25%,362.78,D,D5,Gucci Group/ Yves Saint Laurent,1 year,RENT,75000,Source Verified,12/1/2011,Charged Off,n,,credit_card,Credit Card,900xx,CA,24.14,0,Mar-97,0,77,,9,0,22828,96.30%,26,f,0,0,11730.6,11730.6,8320.22,3145.08,36.24699818,229.06,2.2906,15-Jan,200,15-Jan,INDIVIDUAL,0,0-10 years
120,1068202,1302588,25000,25000,23088.16106, 60 months,13.49%,575.12,C,C1,Midnight,10+ years,MORTGAGE,67000,Verified,12/1/2011,Charged Off,n,"  Borrower added on 12/13/11 > Pay off my credit card, finish my house to refinance,appraised two years ago at $200.000 from an appraiser, <br>",credit_card,"Pay off credit card, refinance house",996xx,AK,14.15,0,Aug-99,0,28,,6,0,15319,91.20%,21,f,0,0,23880.65,20309.6,13833.2,8008.11,28.76,2010.58,361.9044,15-Mar,1179,15-Jul,INDIVIDUAL,0,10+ years
121,1068006,1302360,19750,19750,19725, 36 months,10.65%,643.33,B,B2,"PACIFIC WOOD LAMINATES, INC.",4 years,RENT,45000,Verified,12/1/2011,Charged Off,n,"  Borrower added on 12/13/11 > I have a very stable job/ I am a good borrower because I pay my bills on time in the fastest way that I can; and my credit score shows that I care about my credit, and I care about improving my credit. <br>",debt_consolidation,CONSOLIDATION,974xx,OR,22.8,0,Sep-00,0,56,,12,0,16576,54.20%,28,f,0,0,11930.65,11915.62,8590.58,2698.78,0,641.29,6.412899997,13-Sep,787.01,13-Nov,INDIVIDUAL,0,0-10 years
124,1068179,1302564,28000,11800,11775, 60 months,19.91%,312.04,E,E4,American Airlines,10+ years,RENT,52000,Verified,12/1/2011,Charged Off,n,"  Borrower added on 12/13/11 > Have cut up all credit cards and now trying to get one payment and one interest amount, instead of several payments with interests on them.<br> Borrower added on 12/14/11 > Have already gotten rid of all but one credit card to be held for emergency and to hold a hotel room if needed (usually pay for hotel room or rental car in cash on check out or returning the car).<br><br> Borrower added on 12/14/11 > To those who asked question, I am hoping the wording of my answers make sense. <br><br>  Borrower added on 12/23/11 > Thank you to those who have invested in me so far.<br>",debt_consolidation,Debt Consalidation,752xx,TX,20.7,0,Dec-88,0,,,10,0,29178,87.60%,16,f,0,0,12173.07,12147.29,4281.54,4759.37,0,3132.16,563.7888,14-Jun,312.04,14-Sep,INDIVIDUAL,0,10+ years
131,1066215,1300572,24000,24000,24000, 36 months,15.96%,843.3,C,C5,lafidale inc,8 years,MORTGAGE,90000,Source Verified,12/1/2011,Charged Off,n,,home_improvement,home improve,927xx,CA,9.17,0,Jun-95,1,,,9,0,30952,71.20%,23,f,0,0,5895.68,5895.68,3813.57,2082.11,0,0,0,12-Aug,843.3,16-May,INDIVIDUAL,0,0-10 years
137,1068111,1302472,11100,11100,11100, 36 months,6.62%,340.82,A,A2,Aetna ,10+ years,RENT,41000,Verified,12/1/2011,Charged Off,n,  Borrower added on 12/13/11 > I could really use the help to help pay down my credit card.  The interest rate on it is high.  I also need the help because I have been going back to college and my card has been financing that for the past 6 years.   Any help given would begreatly appreciated.<br>,credit_card,Help me out,194xx,PA,29.85,0,Jan-91,1,,,8,0,17518,62.30%,18,f,0,0,8120.14,8120.14,6516.79,976.85,0,626.5,6.265000001,13-Nov,340.82,14-Mar,INDIVIDUAL,0,10+ years
145,1068091,1302450,12000,12000,12000, 36 months,9.91%,386.7,B,B1,Luxottica Retail,2 years,RENT,42000,Not Verified,12/1/2011,Charged Off,n,  Borrower added on 12/14/11 > I will be using the money to pay off higher interest credit cards.I have always paid my bills on time and most of the time in full. I always stay within my monthly budget. I have been at my current job for almost 2 years.<br>,debt_consolidation,Consolidation,553xx,MN,7.83,0,6-Jun,2,,,8,0,9749,65.40%,16,f,0,0,11234.49,11234.49,9011.72,1807.88,0,414.89,4.148900002,14-May,386.7,15-Oct,INDIVIDUAL,0,0-10 years
151,1067794,1302151,10000,10000,10000, 36 months,11.71%,330.76,B,B3,karl strauss brewing company,8 years,RENT,60000,Not Verified,12/1/2011,Charged Off,n,  Borrower added on 12/13/11 > credit card consolodation<br>,debt_consolidation,consolidation loan,921xx,CA,22.08,0,1-Jul,0,,,8,0,5626,29.30%,26,f,0,0,6002.23,6002.23,4293.91,1388.86,0,319.46,57.5028,13-Jul,62.38,13-Nov,INDIVIDUAL,0,0-10 years
153,1068018,1302371,13475,13475,13450, 60 months,13.49%,309.99,C,C1,vons,10+ years,RENT,25000,Verified,12/1/2011,Charged Off,n,  Borrower added on 12/15/11 > Bills<br>,credit_card,Bills,917xx,CA,21.89,0,1-Dec,1,,,7,0,9943,65.80%,14,f,0,0,6198.89,6187.44,3516.74,2682.15,0,0,0,13-Oct,28,16-May,INDIVIDUAL,0,10+ years
155,1067818,1247741,5600,5600,5600, 36 months,14.65%,193.17,C,C3,O'Reilly Auto Parts,1 year,MORTGAGE,85000,Not Verified,12/1/2011,Charged Off,n,,debt_consolidation,Debt Consolidation,850xx,AZ,12.24,1,May-99,3,11,,8,0,6812,90.80%,31,f,0,0,1350.86,1350.86,905.39,445.47,0,0,0,12-Aug,193.17,16-May,INDIVIDUAL,0,0-10 years
168,1067644,1302032,2500,2500,2500, 36 months,7.51%,77.78,A,A3,,n/a,OWN,12000,Source Verified,12/1/2011,Charged Off,n,  Borrower added on 12/13/11 > TO CONSOLIDATE BILLS<br><br> Borrower added on 12/13/11 > TO CONSOLIDATE MY BILLS<br> Borrower added on 12/14/11 > FOR CREDIT CARD PAY OFF <br><br> Borrower added on 12/14/11 > FOR DEBT CONSOLIDATION<br>,debt_consolidation,GET FREE OF DEBT,961xx,CA,16.3,0,Aug-94,2,,,13,0,4853,42.20%,20,f,0,0,1838.88,1838.88,1575.06,253.74,0,10.08,0,13-Dec,77.78,16-May,INDIVIDUAL,0,n/a
175,1067364,1301744,10000,10000,10000, 36 months,13.49%,339.31,C,C1,Edgestone Real Estate,5 years,RENT,65000,Not Verified,12/1/2011,Charged Off,n,,small_business,Small Business Loan,927xx,CA,6.92,1,Dec-99,2,19,,12,0,14292,69.50%,17,f,0,0,9270.84,9270.84,6799.56,2011.75,0,459.53,4.4878,14-Mar,339.31,14-Jul,INDIVIDUAL,0,0-10 years
176,1067152,1301933,7750,7750,7750, 36 months,17.27%,277.36,D,D3,US Bank,< 1 year,RENT,24000,Not Verified,12/1/2011,Charged Off,n,  Borrower added on 12/13/11 > Using money to payoff title loan to sell a vehicle to then payoff this loan.<br> Borrower added on 12/14/11 > I work at a bank full time and starting school part time in January and am trying to sell one of two vehicles that I own to have extra money for debt consolidation and a new laptop.<br>,debt_consolidation,Payoff Loan,601xx,IL,16.1,0,4-Sep,1,41,,4,0,2348,67.10%,7,f,0,0,6934,6934,4935.39,1986.7,0,11.91,0,14-Jan,277.36,16-May,INDIVIDUAL,0,0 years
177,1062471,1294536,20000,20000,20000, 60 months,20.89%,539.84,F,F1,Independent Imaging,6 years,RENT,70000,Source Verified,12/1/2011,Charged Off,n,"  Borrower added on 12/13/11 > I need help to pay off my credit cards fast and just have one monthly bill.<br><br>  Borrower added on 12/14/11 > As I mentioned before, I need the loan to consolidate my debt. I was going through a difficult situation and had to rely on credit cards. Now that situation has passed and I would like to pay them all off and stay with one monthly payment. I have a stable job in the medical field.<br>",debt_consolidation,Loan to pay off Credit cards,334xx,FL,16.63,0,2-Nov,1,,,10,0,10470,79.90%,24,f,0,0,5425.96,5425.96,1318.27,3034.08,0,1073.61,10.48,12-Oct,591.09,13-Feb,INDIVIDUAL,0,0-10 years
179,1067126,1301506,21000,21000,21000, 60 months,11.71%,464.07,B,B3,Calix,3 years,RENT,60000,Not Verified,12/1/2011,Charged Off,n,,debt_consolidation,Consolidate me 2011,931xx,CA,6.62,0,Dec-90,0,,,7,0,10543,79.90%,11,f,0,0,3708.24,3708.24,2142.87,1565.37,0,0,0,12-Aug,464.07,12-Aug,INDIVIDUAL,0,0-10 years
182,1067324,1301699,15000,15000,15000, 36 months,16.77%,533.08,D,D2,Schneider National Inc,10+ years,RENT,42000,Verified,12/1/2011,Charged Off,n,,debt_consolidation,Debt Consolidation Loan,543xx,WI,19.63,0,1-Aug,2,,,10,0,8238,74.90%,38,f,0,0,13373.77,13373.77,8365.66,3923.4,0,1084.71,40.78310001,14-Apr,188.69,14-Apr,INDIVIDUAL,0,10+ years
183,1067102,1301481,15000,15000,15000, 36 months,17.27%,536.81,D,D3,Santa Clara County Public Defender,8 years,RENT,75000,Source Verified,12/1/2011,Charged Off,n,,debt_consolidation,debt consolidation,951xx,CA,16.03,0,Mar-91,0,48,,10,0,13505,75.90%,17,f,0,0,10198.4,10198.4,6944.85,3238.39,0,15.16,5.64,13-Aug,536.81,16-May,INDIVIDUAL,0,0-10 years
184,1046969,1277832,11000,11000,10750, 60 months,13.49%,253.06,C,C1,Department Of Health,10+ years,MORTGAGE,129000,Verified,12/1/2011,Current,n,  Borrower added on 12/13/11 > I will be paying off the following:<br><br>2 High bank APR loan<br>both are in the 20%<br><br>Also the few extra dollars will allow us to enjoy the Holidays just a little bit better.<br><br>Thank You for your opprotunity<br><br> Borrower added on 12/13/11 > I will be paying of the following:<br><br>2 High bank APR Loans both at about 25%<br><br>The littel extra funds will allow us to have a happier Holidays to end a very challenging year.<br><br>Thank you for you r opprotunities.<br><br> Borrower added on 12/13/11 > I have been employed with my office for the past 12 years<br><br>I plan to pay off the following:<br><br>2 High APR bank loans both at about 25%<br><br>Also the few extra $$ will allow us to have a happier holiday that will end our every challenging year<br> Borrower added on 12/14/11 > I also forgot to mention that I have a very stable job and I have been with the same company in the same line of work for the past twelve years.<br>,debt_consolidation,Breathing Room,927xx,CA,10.94,0,Nov-97,0,80,,10,0,1735,24.10%,31,f,1941.27,1897.5,13131.62,12832.58,9058.73,4072.89,0,0,0,16-May,253.06,16-May,INDIVIDUAL,0,10+ years
188,1067265,1301632,16000,16000,16000, 36 months,12.69%,536.72,B,B5,Marsh,1 year,RENT,58500,Source Verified,12/1/2011,Charged Off,n,  Borrower added on 12/13/11 > This money will pay off my higher interest credit cards.  At that point I will be cutting up my cards and living off of a steady income while easily making the payments for this monthly.  This will truly balance my budget.<br>,debt_consolidation,Consolidation,606xx,IL,20.64,0,Sep-94,0,,,8,0,26224,89.30%,10,f,0,0,12295.72,12295.72,9479.47,2778.95,26.83551087,10.47,1.779900003,14-May,528.58,16-May,INDIVIDUAL,0,0-10 years
195,1067038,1301405,12000,12000,12000, 36 months,14.27%,411.71,C,C2,Corning Inc.,8 years,MORTGAGE,70000,Not Verified,12/1/2011,Charged Off,n,,other,Debt Consolidation Loan,148xx,NY,8.4,0,5-Aug,1,,,7,0,11546,86.20%,12,f,0,0,4241.16,4241.16,2534.26,1163.48,0,543.42,5.32,12-Oct,411.71,13-Feb,INDIVIDUAL,0,0-10 years
203,1031265,1260676,13650,13650,13650, 36 months,12.42%,456.12,B,B4,ITT Aerospace Controls,10+ years,MORTGAGE,86000,Not Verified,12/1/2011,Charged Off,n,  Borrower added on 12/13/11 > Eliminate credit cards and reduce rate on existing balances.  Costs incurred assisting 3 children through college.  Children have all graduated and it's time to pay off the debts.<br>,debt_consolidation,Debt Consolidation,913xx,CA,12.29,0,May-94,1,,,12,0,16140,73.40%,34,f,0,0,8203.29,8203.29,5810.73,1931.92,0,460.64,4.64,13-May,456.12,13-Oct,INDIVIDUAL,0,10+ years
204,1066835,1301027,10500,10500,10500, 36 months,16.29%,370.66,D,D1,Butte Community College,3 years,RENT,30000,Source Verified,12/1/2011,Charged Off,n,,debt_consolidation,Personal,959xx,CA,15,0,7-Nov,1,,,7,0,5379,55.50%,8,f,0,0,2222.16,2222.16,1414.89,807.27,0,0,0,12-Jul,370.66,16-May,INDIVIDUAL,0,0-10 years
212,1063280,1295793,15075,15075,15075, 36 months,14.27%,517.21,C,C2,JPMorgan Chase Bank,10+ years,RENT,35000,Verified,12/1/2011,Charged Off,n,,debt_consolidation,Debt Consolidation Loan,770xx,TX,20.16,0,Aug-00,1,,,7,0,10570,89.60%,14,f,0,0,15502.77,15502.77,11609.04,3374.45,0,519.28,5.036800002,14-Jun,517.21,14-Oct,INDIVIDUAL,0,10+ years
217,1066664,1300858,21000,11800,11500, 60 months,17.27%,294.98,D,D3,New Jersey Institute Of Technology (NJIT,10+ years,MORTGAGE,109000,Verified,12/1/2011,Current,n,"  Borrower added on 12/24/11 > This is a consolidation loan meant to reduce monthly credit card debt payments by $500.<br>Current montly (total) obligations, including mortgage, taxes, utilities, credit card payments, transportation, food; etc. is $5,542;<br>there is no home equity loan.<br>",debt_consolidation,Debt Consolidation,070xx,NJ,7.75,0,Dec-73,0,,,9,0,25435,50.30%,16,f,2235.1,2178.56,15297.1,14907.63,9564.9,5732.2,0,0,0,16-May,294.98,16-Apr,INDIVIDUAL,0,10+ years
